Date,data1,data2,data3,Website units sold,FB_Ad _spend,FB_Impressions,FB_Unique Clicks,Day,Month,Year,day of the week,quarter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Amazon Page Views,Amazon Sessions,Amazon Units Sold
5/3/22,,,,13,540.45,38915,208,3,5,2022,2,2,0,1,0,0,0,0,0,487,365,52
5/4/22,,,,16,548.41,42258,192,4,5,2022,3,2,0,0,1,0,0,0,0,439,308,50
5/5/22,,,,7,285.47,21238,96,5,5,2022,4,2,0,0,0,1,0,0,0,357,277,38
5/6/22,,,,0,0,0,0,6,5,2022,5,2,0,0,0,0,1,0,0,370,264,27
5/7/22,,,,1,56.12,4253,9,7,5,2022,6,2,0,0,0,0,0,1,0,306,231,32
5/8/22,,,,0,51.46,3874,14,8,5,2022,7,2,0,0,0,0,0,0,1,360,249,20
5/9/22,,,,0,51.17,3947,16,9,5,2022,1,2,1,0,0,0,0,0,0,417,314,27
5/10/22,,,,0,26,1957,10,10,5,2022,2,2,0,1,0,0,0,0,0,424,311,40
5/11/22,,,,3,92.83,5575,35,11,5,2022,3,2,0,0,1,0,0,0,0,598,341,32
5/12/22,,,,12,172.18,12935,68,12,5,2022,4,2,0,0,0,1,0,0,0,624,348,51
5/13/22,,,,28,582.85,32910,194,13,5,2022,5,2,0,0,0,0,1,0,0,594,327,46
5/14/22,,,,30,582.65,31844,207,14,5,2022,6,2,0,0,0,0,0,1,0,676,348,45
5/15/22,,,,20,550.51,32582,179,15,5,2022,7,2,0,0,0,0,0,0,1,731,413,43
5/16/22,,,,26,597.66,32851,199,16,5,2022,1,2,1,0,0,0,0,0,0,785,433,56
5/17/22,,,,24,524,31353,154,17,5,2022,2,2,0,1,0,0,0,0,0,725,407,51
5/18/22,,,,28,474.21,29634,165,18,5,2022,3,2,0,0,1,0,0,0,0,752,402,48
5/19/22,,,,26,476.58,28192,162,19,5,2022,4,2,0,0,0,1,0,0,0,792,441,47
5/20/22,,,,20,521.94,30241,167,20,5,2022,5,2,0,0,0,0,1,0,0,769,434,39
5/21/22,,,,15,527.72,24439,139,21,5,2022,6,2,0,0,0,0,0,1,0,599,333,52
5/22/22,,,,29,515.93,24974,168,22,5,2022,7,2,0,0,0,0,0,0,1,921,492,57
5/23/22,,,,22,499.7,25056,131,23,5,2022,1,2,1,0,0,0,0,0,0,"1,249",724,51
5/24/22,,,,20,415.6,26438,148,24,5,2022,2,2,0,1,0,0,0,0,0,"1,087",596,77
5/25/22,,,,16,415.36,32499,204,25,5,2022,3,2,0,0,1,0,0,0,0,704,389,60
5/26/22,,,,37,489.3,35027,224,26,5,2022,4,2,0,0,0,1,0,0,0,694,408,45
5/27/22,,,,29,677.9,43120,241,27,5,2022,5,2,0,0,0,0,1,0,0,560,332,55
5/28/22,,,,34,771.32,40404,215,28,5,2022,6,2,0,0,0,0,0,1,0,579,326,27
5/29/22,,,,32,692.51,33045,216,29,5,2022,7,2,0,0,0,0,0,0,1,673,374,39
5/30/22,,,,30,692.93,32028,205,30,5,2022,1,2,1,0,0,0,0,0,0,740,424,43
5/31/22,,,,27,684.96,35914,220,31,5,2022,2,2,0,1,0,0,0,0,0,707,390,48
6/1/22,,,,53,773.96,36341,239,1,6,2022,3,2,0,0,1,0,0,0,0,747,406,62
6/2/22,,,,48,838.58,43679,268,2,6,2022,4,2,0,0,0,1,0,0,0,707,385,62
6/3/22,,,,43,796.43,42651,272,3,6,2022,5,2,0,0,0,0,1,0,0,621,344,58
6/4/22,,,,30,801.24,41786,245,4,6,2022,6,2,0,0,0,0,0,1,0,592,309,34
6/5/22,,,,37,777.67,40359,280,5,6,2022,7,2,0,0,0,0,0,0,1,1560,760,59
6/6/22,,,,45,809.47,43262,276,6,6,2022,1,2,1,0,0,0,0,0,0,634,316,48
6/7/22,,,,31,645.3,40041,261,7,6,2022,2,2,0,1,0,0,0,0,0,662,330,58
6/8/22,,,,28,631.05,40246,260,8,6,2022,3,2,0,0,1,0,0,0,0,710,377,54
6/9/22,,,,31,492.18,32758,208,9,6,2022,4,2,0,0,0,1,0,0,0,713,490,46
6/10/22,,,,38,493.92,30700,202,10,6,2022,5,2,0,0,0,0,1,0,0,603,490,55
6/11/22,,,,37,512.67,32995,211,11,6,2022,6,2,0,0,0,0,0,1,0,780,646,44
6/12/22,,,,27,510.28,39277,220,12,6,2022,7,2,0,0,0,0,0,0,1,701,573,52
6/13/22,,,,2,231.79,16048,90,13,6,2022,1,2,1,0,0,0,0,0,0,695,536,45
6/14/22,,,,2,,,,14,6,2022,2,2,0,1,0,0,0,0,0,614,484,39
6/15/22,,,,0,,,,15,6,2022,3,2,0,0,1,0,0,0,0,494,386,51
6/16/22,,,,7,,,,16,6,2022,4,2,0,0,0,1,0,0,0,489,370,35
6/17/22,,,,0,,,,17,6,2022,5,2,0,0,0,0,1,0,0,412,323,28
6/18/22,,,,0,,,,18,6,2022,6,2,0,0,0,0,0,1,0,425,329,26
6/19/22,,,,1,,,,19,6,2022,7,2,0,0,0,0,0,0,1,459,346,34
6/20/22,,,,0,,,,20,6,2022,1,2,1,0,0,0,0,0,0,402,313,25
6/21/22,,,,2,,,,21,6,2022,2,2,0,1,0,0,0,0,0,808,662,21
6/22/22,,,,1,,,,22,6,2022,3,2,0,0,1,0,0,0,0,453,352,20
6/23/22,,,,0,,,,23,6,2022,4,2,0,0,0,1,0,0,0,403,325,26
6/24/22,,,,0,,,,24,6,2022,5,2,0,0,0,0,1,0,0,347,284,24
6/25/22,,,,1,,,,25,6,2022,6,2,0,0,0,0,0,1,0,367,273,18
6/26/22,,,,1,,,,26,6,2022,7,2,0,0,0,0,0,0,1,434,336,17
6/27/22,,,,0,,,,27,6,2022,1,2,1,0,0,0,0,0,0,451,359,27
6/28/22,,,,0,,,,28,6,2022,2,2,0,1,0,0,0,0,0,510,374,38
